mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02803459167480469,0.0024848134959643965,0.1377340316772461,0.009964965827724655,1,1,"{'knn__n_neighbors': 1, 'knn__p': 1}",0.8980609418282548,0.9024930747922437,0.8925207756232687,0.8946784922394678,0.9013303769401331,0.8978167322846737,0.003799190015119915,1
0.02636885643005371,0.0007800991639849525,0.12154006958007812,0.0017378106333650611,1,2,"{'knn__n_neighbors': 1, 'knn__p': 2}",0.8210526315789474,0.821606648199446,0.8138504155124654,0.802660753880266,0.8126385809312638,0.8143618060204778,0.006890580976953419,7
0.026776218414306642,0.00044019199984043336,0.8066929817199707,0.03223372574143265,1,3,"{'knn__n_neighbors': 1, 'knn__p': 3}",0.792797783933518,0.7933518005540167,0.778393351800554,0.7766075388026608,0.7865853658536586,0.7855471681888816,0.007009359912336051,13
0.0274383544921875,0.0008405433044643815,0.15928263664245607,0.004568406155007405,2,1,"{'knn__n_neighbors': 2, 'knn__p': 1}",0.8786703601108034,0.8753462603878116,0.8770083102493075,0.8725055432372506,0.8797117516629712,0.8766484451296288,0.0025479721821232725,4
0.026336288452148436,0.0008277500765158002,0.13947577476501466,0.002656438005221306,2,2,"{'knn__n_neighbors': 2, 'knn__p': 2}",0.7988919667590028,0.7961218836565097,0.8060941828254847,0.7893569844789357,0.8021064301552107,0.7985142895750287,0.005658281336117705,10
0.02722015380859375,0.0019405242898165892,1.0295789241790771,0.028347670802591922,2,3,"{'knn__n_neighbors': 2, 'knn__p': 3}",0.7623268698060942,0.7717451523545706,0.775623268698061,0.761640798226164,0.7771618625277162,0.7696995903225213,0.006546158168786915,15
0.02693929672241211,0.0008722973422995167,0.17214317321777345,0.0024774055230393156,3,1,"{'knn__n_neighbors': 3, 'knn__p': 1}",0.896398891966759,0.8886426592797784,0.8930747922437673,0.8819290465631929,0.893569844789357,0.890723046968571,0.005050002696648103,2
0.02834315299987793,0.0008164201405713996,0.15417418479919434,0.0024046849126499715,3,2,"{'knn__n_neighbors': 3, 'knn__p': 2}",0.8083102493074792,0.8083102493074792,0.804432132963989,0.7921286031042128,0.8059866962305987,0.8038335861827518,0.006034596845870317,9
0.027723073959350586,0.0023184198988837603,1.1545873165130616,0.049758234718173575,3,3,"{'knn__n_neighbors': 3, 'knn__p': 3}",0.7761772853185596,0.7739612188365651,0.7806094182825485,0.7694013303769401,0.7788248337028825,0.7757948173034992,0.003917816283813287,14
0.026123952865600587,0.00040506696050784393,0.19249634742736815,0.00491412202351314,5,1,"{'knn__n_neighbors': 5, 'knn__p': 1}",0.8786703601108034,0.8759002770083103,0.8764542936288089,0.8680709534368071,0.8880266075388027,0.8774244983447064,0.0063985973638122865,3
0.027338695526123048,0.001006625189693237,0.17051706314086915,0.004105550333421761,5,2,"{'knn__n_neighbors': 5, 'knn__p': 2}",0.7966759002770083,0.7922437673130194,0.7867036011080333,0.7871396895787139,0.7993348115299335,0.7924195539613417,0.005030253613184301,12
0.02794618606567383,0.0018924331305553688,1.3691589832305908,0.08311872374867377,5,3,"{'knn__n_neighbors': 5, 'knn__p': 3}",0.7706371191135734,0.7601108033240997,0.7562326869806094,0.7644124168514412,0.7682926829268293,0.7639371418393107,0.005255203346790815,17
0.03041524887084961,0.0023675698992132598,0.2522753715515137,0.012281220014502525,10,1,"{'knn__n_neighbors': 10, 'knn__p': 1}",0.8570637119113573,0.8376731301939058,0.8526315789473684,0.8492239467849224,0.8558758314855875,0.8504936398646283,0.006966809967254521,5
0.028736591339111328,0.0014400968717098962,0.2059932231903076,0.0010158152354456686,10,2,"{'knn__n_neighbors': 10, 'knn__p': 2}",0.7695290858725762,0.7562326869806094,0.7767313019390581,0.7738359201773836,0.7677383592017738,0.7688134708342802,0.007040754776101752,16
0.029378318786621095,0.0020030252274800993,1.6457481384277344,0.05251906763535616,10,3,"{'knn__n_neighbors': 10, 'knn__p': 3}",0.746814404432133,0.7351800554016621,0.7534626038781164,0.7416851441241685,0.7366962305986696,0.74276768768695,0.006728503610591435,19
0.028115272521972656,0.0007155430534583321,0.2431649684906006,0.009095772456907038,15,1,"{'knn__n_neighbors': 15, 'knn__p': 1}",0.8349030470914127,0.8254847645429363,0.8315789473684211,0.8309312638580931,0.8248337028824834,0.8295463451486693,0.003832731701143501,6
0.029926013946533204,0.0016664035297016449,0.24191274642944335,0.009623205144379953,15,2,"{'knn__n_neighbors': 15, 'knn__p': 2}",0.7545706371191135,0.7451523545706371,0.7595567867036012,0.7494456762749445,0.7572062084257206,0.7531863326188034,0.005238238231703543,18
0.02943587303161621,0.0035549318045602833,1.8466322422027588,0.09121520212375415,15,3,"{'knn__n_neighbors': 15, 'knn__p': 3}",0.7218836565096953,0.718005540166205,0.7362880886426593,0.7339246119733924,0.7250554323725056,0.7270314659328916,0.007001035819958589,22
0.026854276657104492,0.0006657702961989513,0.24367775917053222,0.003156093439607351,20,1,"{'knn__n_neighbors': 20, 'knn__p': 1}",0.8138504155124654,0.8055401662049861,0.8193905817174515,0.8126385809312638,0.8093126385809313,0.8121464765894195,0.00463242071484309,8
0.02640566825866699,0.0008926987959226327,0.2235410213470459,0.0032052548784789418,20,2,"{'knn__n_neighbors': 20, 'knn__p': 2}",0.7351800554016621,0.7313019390581718,0.7440443213296399,0.75,0.7427937915742794,0.7406640214727507,0.006645980949044772,20
0.026746034622192383,0.000748195686727373,1.8677582740783691,0.030481956712098798,20,3,"{'knn__n_neighbors': 20, 'knn__p': 3}",0.7174515235457064,0.7052631578947368,0.7357340720221607,0.7222838137472284,0.7228381374722838,0.7207141409364232,0.009817852239979167,23
0.026982736587524415,0.001956633780690954,0.25326738357543943,0.0025585344167058737,25,1,"{'knn__n_neighbors': 25, 'knn__p': 1}",0.7961218836565097,0.7939058171745152,0.8,0.799889135254989,0.7982261640798226,0.7976286000331674,0.0023332358018000395,11
0.026544523239135743,0.0008191845522398389,0.2311924934387207,0.006732368057542872,25,2,"{'knn__n_neighbors': 25, 'knn__p': 2}",0.7235457063711911,0.7307479224376732,0.7512465373961219,0.7494456762749445,0.7339246119733924,0.7377820908906647,0.010810780335602732,21
0.02764782905578613,0.0014848304509045025,1.9983378410339356,0.04957229068175819,25,3,"{'knn__n_neighbors': 25, 'knn__p': 3}",0.6991689750692521,0.6958448753462604,0.7340720221606648,0.7161862527716186,0.7106430155210643,0.7111830281737721,0.01362957314028523,24
